Discover More,مشاهدة المزيد
DISCOVER MORE,مشاهدة المزيد
Email Address,البريد الإلكتروني
Password,كلمة المرور
Back to Home,الرجوع الى الصفحة الرئيسية
Add to cart,أضف لسلة التسوق
Adding...,يتم الإضافة...
Add to Cart,أضف لسلة التسوق
Top customer reviews,اعلى تقييمات
No reviews,لا يوجد تقييمات
Write a review,اكتب تقييم
No file chosen,لا يوجد ملفات مختارة
Choose Files,اختر ملفات
Choose how many points to spend,اختر عدد نقاط الإنفاق
Notify me when this product is in stock,أعلمني عند عودة هذا المنتج في المخزن
You save %1,توفير %1
Comments,ملاحظات
Apply Gift Cards,إضافة كروت الهدايا وبطاقات الرصيد
Enter gift card code,أدخل الكود هنا
SMS Phone Number,رقم الهاتف للرسائل القصيرة
Register Behavior Subscription by SMS,سجل اشتراك السلوك عن طريق الرسائل القصيرة
Register Order Subscription by SMS,سجل اشتراك اشعارات الطلب عن طريق الرسائل القصيرة
"In order to reset your password, please <a href=""%1"">Sign Out</a> and click on “Forgot Your Password?” from the Sign In page","لإعادة تعيين كلمة السر، الرجاء قم ب<a href=""%1"">تسجيل الخروج</a> ثم الضغط على ""نسيت كلمة السر؟"" من صفحة الدخول."
Enter Amount,ادخل القيمة
Delivery,التوصيل
Sent From,من
Sender name,اسم المرسل
Sent To,الى
Recipient name,اسم المستلم
characters remaining,حرف متبقي
From: %1,من: %1
To: %1,الى: %1
From:,من:
To:,الى:
You already have an account with us.,يوجد لديك حساب
or continue as guest.,أو المتابعة كضيف.
Please enter more or equal than %1 symbols.,الرجاء ادخال عدد مساوي او اكثر من %1
Please enter less or equal than %1 symbols.,الرجاء ادخال عدد مساوي او اقل من %1
Cancel coupon,الغاء الخصم
Your coupon was successfully applied.,تم تطبيق الخصم بنجاح
Your coupon was successfully removed.,تم الغاء الخصم بنجاح
"The gift card code ""%1"" is not valid.",كود بطاقة الهدايا %1 غير صالح
Already have an account? Click here to login,هل لديك حساب؟ اضغط هنا لتسجيل الدخول
Make It a Gift,أُريدها هدية
Choose a selection...,اختر المقاس
Your Customization,اختيارك
Customize and Add to Cart,اختر المقاس وأضف إلى السلة
Choose size...,اختر المقاس
Your selection,اختيارك
Select Size and Add To Cart,اختر المقاس وأضف إلى السلة
View and edit cart,عرض وتعديل السلة
Place Order,إنشاء الطلب
Create account,إنشاء حساب
VAT Invoice,فاتورة ضريبة القيمة المضافة
Your order is,طلبك هو
Order details,تفاصيل الطلب
Quantity Ordered,الكمية المطلوبة
Reward Points Discount,خصم نقاط المكافآت
This order is not found,لم يتم العثور على هذا الطلب
VAT,ضريبة القيمة المضافة
Store Credit Discount,خصم الرصيد
Return Resolution,المطلوب
Return Resolutions,المطلوب
Check,التأكد
Checkout using your account,تأكيد الطلب باستخدام حسابك
Checkout as a new customer,تأكيد الطلب باستخدام حساب جديد
Choose from saved list,الاختيار من لائحة محفوظة
You will earn,سوف تحصل على
